Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.69313693,8.7763671875,0.13923669,3.7117416875003135,3.7117416875003135,1.0
20000,0.6784893,9.758880516684608,0.3444044,4.188817204198529,4.188817204198529,1.0
30000,0.6277564,11.511278195488721,0.7510336,5.052874995470047,5.052874995470047,1.0
40000,0.5176248,13.557496360989811,1.3260542,6.072197960974347,6.072197960974347,1.0
50000,0.4462712,15.97278911564626,1.6213071,7.296938779808226,7.296938779808226,1.0
60000,0.41301906,18.662082514734774,1.8593159,8.608610570897328,8.608610570897328,1.0
70000,0.36898676,22.62264150943396,1.9836614,10.615130020371566,10.615130020371566,1.0
80000,0.32159215,27.305714285714284,2.3097708,12.987215903502973,12.987215903502973,1.0
90000,0.27901167,31.613636363636363,2.6232321,15.147557042903154,15.147557042903154,1.0
100000,0.24257366,35.010791366906474,2.9121673,16.743884915284973,16.743884915284973,1.0
110000,0.2097571,37.65625,3.209398,18.132684849115662,18.132684849115662,1.0
120000,0.18737583,42.46086956521739,3.383428,20.542358079851976,20.542358079851976,1.0
130000,0.17462955,45.82790697674419,3.4965305,22.235648132308764,22.235648132308764,1.0
140000,0.15468794,50.19897959183673,3.8217328,24.26153847590471,24.26153847590471,1.0
150000,0.14486592,49.411458333333336,4.049098,24.156994823655936,24.156994823655936,1.0
160000,0.13256568,52.96842105263158,4.31144,25.712169336894203,25.712169336894203,1.0
170000,0.12328548,60.50617283950617,4.397736,29.609815949676957,29.609815949676957,1.0
180000,0.113508426,59.876543209876544,4.5987496,29.249382724364597,29.249382724364597,1.0
190000,0.10360711,67.32876712328768,4.904266,32.96712322145292,32.96712322145292,1.0
200000,0.095512465,67.51369863013699,5.16371,32.841379361728144,32.841379361728144,1.0
210000,0.08625422,71.37777777777778,5.3435116,35.1882352649289,35.1882352649289,1.0
220000,0.083158135,79.65116279069767,5.5919085,39.117054245730706,39.117054245730706,1.0
230000,0.081759565,68.66433566433567,5.780403,33.76549298242784,33.76549298242784,1.0
240000,0.07957284,76.4274193548387,6.0828476,37.320799975395204,37.320799975395204,1.0
250000,0.075279266,81.06611570247934,6.444105,39.819008272048855,39.819008272048855,1.0
260000,0.07379028,84.02564102564102,6.780468,41.41016948021064,41.41016948021064,1.0
270000,0.07307754,79.464,7.1268682,38.36960004806519,38.36960004806519,1.0
280000,0.07158999,75.09558823529412,7.4187045,37.26204380719331,37.26204380719331,1.0
290000,0.06625811,83.48245614035088,7.7541165,41.01929827635748,41.01929827635748,1.0
300000,0.065887295,82.63414634146342,8.036271,40.49918041268333,40.49918041268333,1.0
310000,0.061577298,82.85593220338983,8.310906,40.826890770126795,40.826890770126795,1.0
320000,0.0607341,89.87155963302752,8.51115,44.241284408153746,44.241284408153746,1.0
330000,0.0602587,78.62015503875969,8.867466,38.6511627685192,38.6511627685192,1.0
340000,0.057202745,80.40677966101696,9.014662,39.445762758537875,39.445762758537875,1.0
350000,0.054206524,88.09734513274336,9.167421,43.25486724250084,43.25486724250084,1.0
360000,0.053310316,85.99137931034483,9.362472,42.371551776754444,42.371551776754444,1.0
370000,0.05307346,88.42608695652174,9.665808,44.02072068699845,44.02072068699845,1.0
380000,0.04907489,83.47787610619469,9.911418,40.38888898211667,40.38888898211667,1.0
390000,0.049443588,82.14166666666667,10.126442,40.986776887877916,40.986776887877916,1.0
400000,0.04596795,96.16831683168317,10.382152,47.21078431372549,47.21078431372549,1.0
