Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.69311965,8.663768115942029,-0.40745062,3.645357834301327,3.645357834301327,1.0
20000,0.67777723,9.798274002157497,0.223524,4.207659116197687,4.207659116197687,1.0
30000,0.62644225,11.526908635794744,0.7627752,5.064411024999499,5.064411024999499,1.0
40000,0.50109106,13.817777777777778,1.3346388,6.206518523604782,6.206518523604782,1.0
50000,0.44430825,15.724080267558529,1.6932077,7.172575255301485,7.172575255301485,1.0
60000,0.41044423,18.243243243243242,1.8616387,8.425384620061287,8.425384620061287,1.0
70000,0.38316143,22.70616113744076,2.0932503,10.657108999824072,10.657108999824072,1.0
80000,0.33476108,24.547314578005114,2.3751106,11.52321429626674,11.52321429626674,1.0
90000,0.2857276,30.215625,2.6715763,14.4509375102818,14.4509375102818,1.0
100000,0.25038108,35.36996336996337,3.120209,16.952727295702154,16.952727295702154,1.0
110000,0.22238903,37.48854961832061,3.3805203,18.048659017716332,18.048659017716332,1.0
120000,0.20290624,38.804,3.6183157,18.67800000667572,18.67800000667572,1.0
130000,0.18160525,42.440528634361236,3.8429797,20.615418524206472,20.615418524206472,1.0
140000,0.16588572,49.353233830845774,4.1009474,23.92079209927285,23.92079209927285,1.0
150000,0.15383671,49.54358974358974,4.3090887,24.149484585240945,24.149484585240945,1.0
160000,0.139455,56.19101123595506,4.629711,26.837640480044183,26.837640480044183,1.0
170000,0.12909797,55.05714285714286,4.8448453,27.310227324000813,27.310227324000813,1.0
180000,0.121910796,61.935483870967744,4.990156,30.23821656984888,30.23821656984888,1.0
190000,0.116342545,58.476190476190474,5.1047525,28.63892215026353,28.63892215026353,1.0
200000,0.1030006,67.52027027027027,5.3817086,32.91812081424982,32.91812081424982,1.0
210000,0.09967995,64.46052631578948,5.553629,31.54117654858072,31.54117654858072,1.0
220000,0.09218682,70.31914893617021,5.691952,34.32642866415637,34.32642866415637,1.0
230000,0.08883087,63.810457516339866,5.9995933,31.21241828234367,31.21241828234367,1.0
240000,0.08433522,63.967948717948715,6.1547127,31.35961538553238,31.35961538553238,1.0
250000,0.07959715,71.05223880597015,6.4016013,34.67238806299309,34.67238806299309,1.0
260000,0.07644244,77.34959349593495,6.683327,38.166935488100975,38.166935488100975,1.0
270000,0.074979916,77.5,6.888444,38.04477616166001,38.04477616166001,1.0
280000,0.0723802,74.38805970149254,7.180955,36.504477666385135,36.504477666385135,1.0
290000,0.06913843,80.7107438016529,7.5774813,39.633884318111356,39.633884318111356,1.0
300000,0.06646653,77.03125,7.810907,38.0170541918555,38.0170541918555,1.0
310000,0.06636535,75.87596899224806,8.121283,37.24263573478358,37.24263573478358,1.0
320000,0.06386291,78.792,8.313593,38.53145161030754,38.53145161030754,1.0
330000,0.06561463,69.42957746478874,8.590262,34.21608390716406,34.21608390716406,1.0
340000,0.063977376,74.15151515151516,8.700109,36.40992368359602,36.40992368359602,1.0
350000,0.06078657,83.52991452991454,8.794265,40.97203392649101,40.97203392649101,1.0
360000,0.060668316,72.76978417266187,9.106675,35.67985612325531,35.67985612325531,1.0
370000,0.061908774,66.97368421052632,9.327197,33.18424658497719,33.18424658497719,1.0
380000,0.058566026,91.77227722772277,9.379916,43.67870365469544,43.67870365469544,1.0
390000,0.0587275,70.50704225352112,9.636825,34.56478878016203,34.56478878016203,1.0
400000,0.057292253,88.27927927927928,9.767503,43.73181818940423,43.73181818940423,1.0
410000,0.058898877,84.11666666666666,9.874774,41.18916671176751,41.18916671176751,1.0
420000,0.056912854,81.4608695652174,10.038205,39.94827586977646,39.94827586977646,1.0
430000,0.05679654,78.41221374045801,10.223678,38.520610721511694,38.520610721511694,1.0
440000,0.05581014,91.26851851851852,10.299376,44.9361111935642,44.9361111935642,1.0
450000,0.05445985,88.11504424778761,10.475494,43.47500001106943,43.47500001106943,1.0
460000,0.054350466,78.728,10.745848,38.619047654053524,38.619047654053524,1.0
470000,0.053565152,77.72222222222223,10.917262,38.16190483361956,38.16190483361956,1.0
480000,0.053773116,90.0,10.984476,44.31681414832056,44.31681414832056,1.0
490000,0.054032065,76.3875968992248,11.058187,37.49767444623533,37.49767444623533,1.0
500000,0.052551728,77.75396825396825,11.340891,38.38080000686646,38.38080000686646,1.0
510000,0.05342348,79.16806722689076,11.415715,38.6883333509167,38.6883333509167,1.0
520000,0.05216065,76.16541353383458,11.565126,37.64776123415178,37.64776123415178,1.0
530000,0.04839083,82.18181818181819,11.6749735,40.39454542940313,40.39454542940313,1.0
540000,0.04906004,91.8103448275862,11.9315815,45.19827591704911,45.19827591704911,1.0
