Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.6931145,8.714563106796117,0.009066481,3.6686103082143413,3.6686103082143413,1.0
20000,0.678088,9.728051391862955,0.29299596,4.174490890830021,4.174490890830021,1.0
30000,0.6251884,12.030026109660575,0.7890627,5.317992178992777,5.317992178992777,1.0
40000,0.50641006,13.99099099099099,1.47319,6.292803590265528,6.292803590265528,1.0
50000,0.43497446,15.923728813559322,1.7479593,7.29016948503963,7.29016948503963,1.0
60000,0.40076047,19.15959595959596,1.957752,8.862173029114782,8.862173029114782,1.0
70000,0.34750977,23.915422885572138,2.1673014,11.260945272979452,11.260945272979452,1.0
80000,0.29800603,27.982658959537574,2.5017874,13.314202875503595,13.314202875503595,1.0
90000,0.25512207,32.224489795918366,2.905586,15.406779697789984,15.406779697789984,1.0
100000,0.2286533,36.38805970149254,3.2107487,17.427137572304467,17.427137572304467,1.0
110000,0.20254219,43.62555066079295,3.3388546,21.107929511742444,21.107929511742444,1.0
120000,0.1794459,44.07239819004525,3.6918325,21.358558566183657,21.358558566183657,1.0
130000,0.15618928,47.73658536585366,3.8703513,23.117475766580082,23.117475766580082,1.0
140000,0.13984135,49.23232323232323,4.173626,23.918686872780924,23.918686872780924,1.0
150000,0.12533748,55.12921348314607,4.32141,26.89101117179635,26.89101117179635,1.0
160000,0.11480092,58.57738095238095,4.4911532,28.661309527499334,28.661309527499334,1.0
170000,0.11132905,54.96551724137931,4.724811,26.67500003291802,26.67500003291802,1.0
180000,0.103290774,57.15204678362573,5.053934,27.9953216812764,27.9953216812764,1.0
190000,0.09564644,63.56774193548387,5.332727,31.018709713797417,31.018709713797417,1.0
200000,0.092869125,59.07738095238095,5.6289673,28.824260353689365,28.824260353689365,1.0
210000,0.0859316,67.77622377622377,5.904597,33.180419612180934,33.180419612180934,1.0
220000,0.08212669,62.21518987341772,6.255362,30.611949762083448,30.611949762083448,1.0
230000,0.07803117,70.1231884057971,6.6824617,34.34855077145756,34.34855077145756,1.0
240000,0.07840723,71.90714285714286,6.995426,35.41798558423845,35.41798558423845,1.0
250000,0.07387366,69.66901408450704,7.349283,34.06760566964955,34.06760566964955,1.0
260000,0.06550097,76.12307692307692,7.551974,37.20153847841116,37.20153847841116,1.0
270000,0.062198594,71.61481481481482,7.846242,35.14632357481648,35.14632357481648,1.0
280000,0.06185515,78.888,8.145776,38.68412701099638,38.68412701099638,1.0
290000,0.06199161,76.58461538461539,8.28448,37.79534886419311,37.79534886419311,1.0
300000,0.0597534,75.29007633587786,8.563019,36.87938929696119,36.87938929696119,1.0
310000,0.05857428,86.24347826086957,8.69443,42.259482750604896,42.259482750604896,1.0
320000,0.052783564,73.82307692307693,8.841785,36.206923112502466,36.206923112502466,1.0
330000,0.05503859,85.83760683760684,9.172367,42.20000004462707,42.20000004462707,1.0
340000,0.054667123,77.16,9.395078,37.695238050487305,37.695238050487305,1.0
350000,0.053545173,87.43478260869566,9.695211,43.28333337003725,43.28333337003725,1.0
360000,0.04921401,80.0,9.977997,39.09090911800211,39.09090911800211,1.0
370000,0.04973166,94.71559633027523,10.042413,47.65865382953332,47.65865382953332,1.0
380000,0.049081862,88.91818181818182,10.4768,42.983478325864546,42.983478325864546,1.0
390000,0.048500184,81.48760330578513,10.815431,40.060330613092944,40.060330613092944,1.0
400000,0.04991776,84.33628318584071,10.945551,41.47699111963795,41.47699111963795,1.0
410000,0.046820767,94.92523364485982,11.158959,45.712149588861195,45.712149588861195,1.0
420000,0.045828596,80.096,11.498777,40.08640005731583,40.08640005731583,1.0
430000,0.043911055,88.84545454545454,11.5996685,43.77431190396668,43.77431190396668,1.0
440000,0.044551566,89.11504424778761,11.815445,43.57456139252897,43.57456139252897,1.0
450000,0.045507535,83.09482758620689,11.950223,41.0205128320262,41.0205128320262,1.0
460000,0.04385166,77.6124031007752,12.203358,37.38046870706603,37.38046870706603,1.0
470000,0.041512743,84.27826086956522,12.43427,42.076521805058356,42.076521805058356,1.0
480000,0.042910166,86.08474576271186,12.71638,42.467226988628134,42.467226988628134,1.0
490000,0.041510776,93.61386138613861,12.910736,46.108910930038675,46.108910930038675,1.0
500000,0.043880336,80.62096774193549,13.08575,39.87600004053116,39.87600004053116,1.0
510000,0.039674025,83.02586206896552,13.261171,40.62086956863818,40.62086956863818,1.0
520000,0.041390512,90.03636363636363,13.441954,44.989189201110115,44.989189201110115,1.0
530000,0.037845194,82.21666666666667,13.717043,40.15454549878097,40.15454549878097,1.0
540000,0.040625148,93.41509433962264,13.824627,46.255238145305995,46.255238145305995,1.0
550000,0.037352055,88.13274336283186,14.145911,43.150877196014974,43.150877196014974,1.0
560000,0.03742209,94.74757281553399,14.359809,46.67961161055611,46.67961161055611,1.0
570000,0.03729503,95.02884615384616,14.619491,46.826923064887524,46.826923064887524,1.0
580000,0.03733794,95.29523809523809,14.741466,46.975238155751,46.975238155751,1.0
590000,0.03610482,89.05309734513274,15.105342,44.16460183869421,44.16460183869421,1.0
600000,0.034184482,90.54629629629629,15.339233,44.36513764978549,44.36513764978549,1.0
610000,0.03603564,80.96638655462185,15.408407,39.788235338796085,39.788235338796085,1.0
620000,0.035244297,83.98275862068965,15.637432,41.16173917262451,41.16173917262451,1.0
630000,0.03398259,79.71428571428571,15.831048,39.45079371616954,39.45079371616954,1.0
640000,0.03491866,98.84158415841584,16.042738,48.37352942719179,48.37352942719179,1.0
650000,0.03369024,93.67307692307692,16.220385,46.12115397762794,46.12115397762794,1.0
660000,0.035363894,81.5,16.490053,40.06964294984937,40.06964294984937,1.0
670000,0.034148958,93.30701754385964,16.558352,46.17168142996003,46.17168142996003,1.0
680000,0.033958316,82.4959349593496,16.822756,40.40403228421365,40.40403228421365,1.0
690000,0.034030065,78.17073170731707,16.956846,38.33548390624985,38.33548390624985,1.0
700000,0.033314817,83.94262295081967,17.012375,41.277049201433776,41.277049201433776,1.0
710000,0.03253128,78.38888888888889,17.184446,38.26400001955032,38.26400001955032,1.0
720000,0.03214752,81.93103448275862,17.402502,40.27672414687173,40.27672414687173,1.0
730000,0.03410656,90.05357142857143,17.512138,44.77946424963219,44.77946424963219,1.0
740000,0.033377048,78.06153846153846,17.866394,37.97401582584607,37.97401582584607,1.0
750000,0.031918142,84.2,17.79163,41.609322122092976,41.609322122092976,1.0
760000,0.031048657,85.14912280701755,18.047733,41.67826090740121,41.67826090740121,1.0
770000,0.03230152,90.25,18.132349,42.46074768761608,42.46074768761608,1.0
780000,0.03272731,82.30645161290323,18.215998,41.92720000982285,41.92720000982285,1.0
790000,0.031999737,83.5,18.467388,41.19915968580406,41.19915968580406,1.0
800000,0.033743408,81.21186440677967,18.419395,39.899152563790146,39.899152563790146,1.0
810000,0.030605704,84.32203389830508,18.577406,41.713675211128006,41.713675211128006,1.0
820000,0.03295887,89.75,18.703802,43.878761137481284,43.878761137481284,1.0
830000,0.030814786,87.4770642201835,18.541502,42.927272755449465,42.927272755449465,1.0
840000,0.031573355,83.13333333333334,18.87952,40.866666698952514,40.866666698952514,1.0
850000,0.03356767,89.43119266055047,18.957893,43.83333339845693,43.83333339845693,1.0
860000,0.02910275,85.6864406779661,18.910448,42.55169496899944,42.55169496899944,1.0
870000,0.032450087,79.28455284552845,19.092562,38.9479674764765,38.9479674764765,1.0
880000,0.02914482,81.42857142857143,19.0128,39.77039999771118,39.77039999771118,1.0
890000,0.029259782,74.53225806451613,19.089918,36.666666719175524,36.666666719175524,1.0
900000,0.02915859,87.5982905982906,19.198133,42.914655154121334,42.914655154121334,1.0
910000,0.029627772,80.70731707317073,18.955858,39.8395161854644,39.8395161854644,1.0
920000,0.02986525,88.17117117117117,19.174568,43.66545453071594,43.66545453071594,1.0
930000,0.029975673,82.4758064516129,19.171295,40.33040003299713,40.33040003299713,1.0
940000,0.027825115,88.18348623853211,19.45571,43.24351856443617,43.24351856443617,1.0
950000,0.027806496,97.44660194174757,19.614801,47.91844660506665,47.91844660506665,1.0
960000,0.027805982,76.21428571428571,19.62777,37.69133860107482,37.69133860107482,1.0
970000,0.028435245,89.00884955752213,19.730143,43.475000062691315,43.475000062691315,1.0
980000,0.027980695,87.25225225225225,19.84058,43.27678575419954,43.27678575419954,1.0
990000,0.02853918,85.27586206896552,20.029642,41.93620691628292,41.93620691628292,1.0
1000000,0.02741469,87.89285714285714,20.032362,43.259821409625665,43.259821409625665,1.0
1010000,0.028696802,101.88888888888889,19.990973,50.64489798825614,50.64489798825614,1.0
1020000,0.028015815,86.0603448275862,20.006678,42.06752144831877,42.06752144831877,1.0
1030000,0.028143704,85.61607142857143,20.370802,42.09910723247698,42.09910723247698,1.0
1040000,0.026886323,94.6923076923077,20.332031,46.736538417064224,46.736538417064224,1.0
1050000,0.027923761,89.05504587155963,20.148983,43.61636363918131,43.61636363918131,1.0
1060000,0.02742932,79.15151515151516,20.297947,38.87727269846381,38.87727269846381,1.0
1070000,0.02680076,89.60377358490567,20.634789,43.7943924960689,43.7943924960689,1.0
1080000,0.02645414,90.75675675675676,20.57363,44.67747752784609,44.67747752784609,1.0
1090000,0.025335927,106.18279569892474,20.81187,51.981720500094916,51.981720500094916,1.0
1100000,0.025602426,82.39823008849558,20.549284,40.86140353114981,40.86140353114981,1.0
1110000,0.028544765,88.675,20.358763,43.71949150097572,43.71949150097572,1.0
1120000,0.027210388,95.75510204081633,20.285759,47.246464707634665,47.246464707634665,1.0
1130000,0.02684296,107.9247311827957,20.397633,52.977659593237206,52.977659593237206,1.0
1140000,0.026556464,90.10185185185185,20.125042,44.31651376638938,44.31651376638938,1.0
1150000,0.024424132,98.74257425742574,20.547491,48.65742578718922,48.65742578718922,1.0
1160000,0.02644599,89.51754385964912,20.58615,44.050000051657356,44.050000051657356,1.0
1170000,0.026210403,84.04385964912281,20.33941,41.483185826149665,41.483185826149665,1.0
1180000,0.02740425,84.71304347826087,20.10156,41.307627184411224,41.307627184411224,1.0
1190000,0.026454687,81.29166666666667,20.40188,40.260000079870224,40.260000079870224,1.0
1200000,0.026022611,98.05102040816327,20.103264,47.95454550090462,47.95454550090462,1.0
1210000,0.027519338,95.89719626168224,20.344725,46.94339625734203,46.94339625734203,1.0
1220000,0.02575815,85.65517241379311,20.33197,42.58965521074575,42.58965521074575,1.0
1230000,0.024867069,105.85416666666667,20.616312,51.95104174502194,51.95104174502194,1.0
1240000,0.027201798,96.97938144329896,20.663355,47.803061286405644,47.803061286405644,1.0
1250000,0.026256124,88.49090909090908,20.603947,43.445945936280324,43.445945936280324,1.0
1260000,0.025801083,97.20192307692308,20.887539,48.12038840715167,48.12038840715167,1.0
1270000,0.026302673,99.9578947368421,20.62187,49.0010416675359,49.0010416675359,1.0
1280000,0.027509488,96.22330097087378,20.996872,48.359223367519746,48.359223367519746,1.0
1290000,0.025271429,93.84466019417475,21.291964,46.32500002132012,46.32500002132012,1.0
1300000,0.02628375,94.45945945945945,21.08863,46.51621627592826,46.51621627592826,1.0
1310000,0.025005138,88.37962962962963,21.199509,43.0158878748662,43.0158878748662,1.0
1320000,0.025004264,100.07920792079207,20.936806,49.361386169301404,49.361386169301404,1.0
1330000,0.025496084,97.42156862745098,20.995066,48.292156890911215,48.292156890911215,1.0
1340000,0.02358268,91.80373831775701,21.06956,45.32962972863957,45.32962972863957,1.0
1350000,0.025341373,94.61538461538461,21.334202,46.613461531698704,46.613461531698704,1.0
1360000,0.024079116,104.48958333333333,21.203657,51.35979382156097,51.35979382156097,1.0
1370000,0.024137683,89.84905660377359,21.332628,44.21226417343571,44.21226417343571,1.0
1380000,0.023152811,93.86238532110092,21.20363,46.28090913566676,46.28090913566676,1.0
1390000,0.025336502,96.41666666666667,21.311954,47.66701043573851,47.66701043573851,1.0
1400000,0.025532953,100.07692307692308,20.89946,49.54660198815818,49.54660198815818,1.0
1410000,0.026360963,90.8,21.126724,44.54433970237678,44.54433970237678,1.0
1420000,0.025675014,103.125,21.186169,50.901041658595204,50.901041658595204,1.0
1430000,0.02471025,103.71578947368421,21.353525,51.388297890095004,51.388297890095004,1.0
1440000,0.023903713,100.41414141414141,21.11734,49.30000006139279,49.30000006139279,1.0
1450000,0.025875222,103.10204081632654,21.509308,50.820408232358034,50.820408232358034,1.0
1460000,0.0258552,97.6938775510204,21.481146,48.128571447669245,48.128571447669245,1.0
1470000,0.025774518,92.32407407407408,21.676203,45.482407371755,45.482407371755,1.0
1480000,0.026151653,99.37864077669903,21.508627,48.59299999058246,48.59299999058246,1.0
1490000,0.025062041,108.44444444444444,21.68503,53.663440886364185,53.663440886364185,1.0
1500000,0.025510984,95.13461538461539,21.518665,46.96923081290264,46.96923081290264,1.0
1510000,0.02644667,89.6,21.642542,43.78504676406629,43.78504676406629,1.0
1520000,0.027794138,92.50943396226415,21.628046,47.43584916445444,47.43584916445444,1.0
1530000,0.027195036,89.82407407407408,21.54219,43.914678913190826,43.914678913190826,1.0
1540000,0.025825704,105.74193548387096,21.656034,52.16021509516624,52.16021509516624,1.0
1550000,0.02708078,98.75247524752476,21.840174,48.680198003159894,48.680198003159894,1.0
1560000,0.025202481,105.21875,21.800411,52.01789473797145,52.01789473797145,1.0
1570000,0.027205314,97.63366336633663,21.581621,48.22277236515933,48.22277236515933,1.0
1580000,0.026317835,108.15730337078652,21.33205,53.12333340115018,53.12333340115018,1.0
1590000,0.027223978,99.99056603773585,21.557177,49.56000005517687,49.56000005517687,1.0
1600000,0.025046896,106.95061728395062,21.918192,52.37439026556364,52.37439026556364,1.0
1610000,0.025831217,108.11764705882354,21.589254,51.78888893247855,51.78888893247855,1.0
1620000,0.02665064,99.96808510638297,22.041998,50.97525784772696,50.97525784772696,1.0
1630000,0.026598295,100.25510204081633,22.096752,49.72268045378714,49.72268045378714,1.0
1640000,0.024422014,104.23232323232324,22.114916,51.08900011122227,51.08900011122227,1.0
1650000,0.025031643,95.55882352941177,21.873611,47.08529420927459,47.08529420927459,1.0
1660000,0.023401586,102.26530612244898,22.130032,50.605102138859884,50.605102138859884,1.0
1670000,0.026784105,111.10989010989012,22.150274,53.764835256796616,53.764835256796616,1.0
1680000,0.025099464,95.54736842105264,22.47191,48.02421050824617,48.02421050824617,1.0
1690000,0.024025591,117.18681318681318,22.573425,57.89120879343578,57.89120879343578,1.0
1700000,0.02561924,78.85365853658537,21.986153,38.679200098514556,38.679200098514556,1.0
1710000,0.02426989,104.81052631578947,22.263273,51.2872341129374,51.2872341129374,1.0
1720000,0.02638906,93.13333333333334,21.988434,46.248113295941984,46.248113295941984,1.0
1730000,0.025475442,88.50450450450451,22.134638,43.57477480173111,43.57477480173111,1.0
1740000,0.025872277,98.56565656565657,22.092472,48.57979804939694,48.57979804939694,1.0
1750000,0.022938289,96.46078431372548,22.041397,46.93529415013743,46.93529415013743,1.0
1760000,0.024990102,92.92380952380952,22.039253,46.29056604065985,46.29056604065985,1.0
1770000,0.026283588,109.26136363636364,22.340912,53.91477273133668,53.91477273133668,1.0
1780000,0.025262019,91.73684210526316,22.134571,45.13859656714556,45.13859656714556,1.0
1790000,0.025108106,99.30208333333333,22.049833,48.97499999652306,48.97499999652306,1.0
1800000,0.024488043,99.23232323232324,22.017368,48.93232331914131,48.93232331914131,1.0
1810000,0.025820186,103.07291666666667,22.463778,50.82916675508022,50.82916675508022,1.0
1820000,0.025769588,99.41414141414141,22.023314,49.01010096615011,49.01010096615011,1.0
1830000,0.024740124,106.57731958762886,22.373951,52.58350525443087,52.58350525443087,1.0
1840000,0.02503632,95.70588235294117,22.183594,47.14313723818928,47.14313723818928,1.0
1850000,0.025514018,99.5,22.279589,49.01938778952677,49.01938778952677,1.0
1860000,0.023176067,118.85365853658537,22.603374,57.63205136014865,57.63205136014865,1.0
